qid	competition	timestamp	section	number	original_question	original_answer	original_additional_info
QA20CAPR-0290	第1回AI王	2019/12/25	未使用問題	290	雑誌『週刊文春』が著名人のスキャンダルをスクープすることを、兵器に例えた表現で何というでしょう？	文春砲	
QA20CAPR-0305	第1回AI王	2019/12/25	未使用問題	305	扇の骨がバラバラにならないように繋ぎとめる部品を何というでしょう？	要	
QA20CAPR-0349	第1回AI王	2019/12/25	未使用問題	349	オハイオ州の朝の挨拶は、「オハヨウ」ではなく何でしょう？	グッドモーニング	
QA20CAPR-0448	第1回AI王	2019/12/25	未使用問題	448	選挙速報でよく言われる「当確」とは何という言葉の略でしょう？	当選確実	
QA20CAPR-0745	第1回AI王	2019/12/25	未使用問題	745	正式には「東京臨海新交通臨海線」という、新橋駅から豊洲駅までを結ぶ鉄道路線の愛称は何でしょう？	ゆりかもめ	
QA20CAPR-0752	第1回AI王	2019/12/25	未使用問題	752	人間の「五感」とは、視覚、聴覚、味覚、嗅覚とあとひとつは何でしょう？	触覚	
QA20CAPR-0792	第1回AI王	2019/12/25	未使用問題	792	1998年にリリースされた、歌手・浜崎あゆみのファーストシングルは何でしょう？	Poker face (浜崎あゆみの曲)	
QA20CAPR-1001	第1回AI王	2019/12/25	未使用問題	1001	パンジーはスミレ科の植物ですが、チンパンジーは何科の動物でしょう？	ヒト科	
QA20CAPR-1005	第1回AI王	2019/12/25	未使用問題	1005	テーブル・ロックという展望台からの景色が有名な、アメリカとカナダの国境にある、巨大な滝は何でしょう？	ナイアガラの滝	
QA20CAPR-1009	第1回AI王	2019/12/25	未使用問題	1009	ワシやタカのように、鋭いくちばしと爪を持った大型の鳥類を総称して「何類」というでしょう？	猛禽類	
QA20CAPR-1013	第1回AI王	2019/12/25	未使用問題	1013	詐欺にもいろいろありますが、街頭などで小額のお金を借り、そのまま返さずに逃げてしまう詐欺を何というでしょう？	寸借詐欺	
QA20CAPR-1017	第1回AI王	2019/12/25	未使用問題	1017	その発生確率は約33万分の1である、麻雀で親が最初に配られた14枚の牌でアガる役を何というでしょう？	天和 (麻雀)	
QA20CAPR-1029	第1回AI王	2019/12/25	未使用問題	1029	1989年に女性初の国民栄誉賞を受賞した、『川の流れのように』などの曲で知られる昭和の大歌手は誰でしょう？	美空ひばり	
QA20CAPR-1035	第1回AI王	2019/12/25	未使用問題	1035	小野義眞、岩崎彌之助、井上勝の３人の頭文字をとって命名された、岩手県にある大農場は何でしょう？	小岩井農場	
QA20CAPR-1037	第1回AI王	2019/12/25	未使用問題	1037	大記録を樹立することを金字塔をうちたてるといいますが、この金字塔とは、どんな建物のことでしょう？	ピラミッド	
QA20CAPR-1043	第1回AI王	2019/12/25	未使用問題	1043	学生服をさす「学ラン」の「ラン」とは、ここのことである、正式名を「ネーデルラント」というヨーロッパの国はどこでしょう？	オランダ	
QA20CAPR-1053	第1回AI王	2019/12/25	未使用問題	1053	「日本最後の清流」とも称される、名前のすべてが漢数字で構成されている四国の川は何でしょう？	四万十川	
QA20CAPR-1057	第1回AI王	2019/12/25	未使用問題	1057	かつては「ホットドッグスキー」と呼ばれていた、コブが付いた斜面をスキーで滑り降りターンや技を競う種目は何でしょう？	モーグル	
QA20CAPR-1059	第1回AI王	2019/12/25	未使用問題	1059	「ホワイトタイガー」はトラの種類ですが、「ブラックタイガー」はどんな動物の種類でしょう？	エビ	
QA20CAPR-1063	第1回AI王	2019/12/25	未使用問題	1063	1990年に「ミスマガジン」のグランプリを受賞して芸能界デビューし、「フーミン」の愛称で巨乳グラビアアイドルの草分けとして活躍したタレントは誰でしょう？	細川ふみえ	
QA20CAPR-1077	第1回AI王	2019/12/25	未使用問題	1077	シュークリームの「シュー」とはフランス語でこの野菜のことをさしている、コールスローサラダの材料として使われる野菜といえば何でしょう？	キャベツ	
QA20CAPR-1085	第1回AI王	2019/12/25	未使用問題	1085	英語では「ミュージカルチェアーズ」と呼ばれる、円形に並べた椅子の周りを参加者が周回し、音楽が途切れた瞬間に椅子に座るという遊びは何でしょう？	椅子取りゲーム	
QA20CAPR-1101	第1回AI王	2019/12/25	未使用問題	1101	江戸時代に初代市川團十郎が考案した、歌舞伎で使われる、赤と黒など鮮やかな色を用いた独特な化粧のことを何というでしょう？	隈取	
QA20CAPR-1103	第1回AI王	2019/12/25	未使用問題	1103	一瞬で三度の突きを繰り出す「三段突き」の伝説で知られた、新撰組の一番隊組長を務めた人物は誰でしょう？	沖田総司	
QA20CAPR-1105	第1回AI王	2019/12/25	未使用問題	1105	日本では「黄色人種」と呼ばれる、五大人種のひとつは何でしょう？	モンゴロイド	
QA20CAPR-1117	第1回AI王	2019/12/25	未使用問題	1117	将棋や囲碁の対局後に、お互いに勝因、敗因の意見交換をすることを特に何戦というでしょう？	感想戦	
QA20CAPR-1123	第1回AI王	2019/12/25	未使用問題	1123	1967年に佐藤栄作首相の国会答弁から生まれた、核兵器を「持たず、作らず、持ち込ませず」とする考え方を何というでしょう？	非核三原則	
QA20CAPR-1125	第1回AI王	2019/12/25	未使用問題	1125	「爪ピカッシュ」「ワキガード」「なめらかかと」などの商品を発売している企業はどこでしょう？	小林製薬	
QA20CAPR-1127	第1回AI王	2019/12/25	未使用問題	1127	損な役割を引き受けるときはこれを被り、疲れたときはこれのように眠ると例えられる、水分の多い土を意味する言葉は何でしょう？	泥	
QA20CAPR-1129	第1回AI王	2019/12/25	未使用問題	1129	有名人が本を書くとき、本人の代わりに文章を書く人のことを英語で何というでしょう？	ゴーストライター	
QA20CAPR-1133	第1回AI王	2019/12/25	未使用問題	1133	フランス・マルセイユ出身でファッションモデルとしても活躍する、音楽グループ「globe」のメンバーは誰でしょう？	マーク・パンサー	
