qid	competition	timestamp	section	number	original_question	original_answer	original_additional_info
ABC01-01-0001	abc ～the first～	2003/03/30	ペーパー筆記	1	「abc ～the first～」へようこそ！さて、ABC・・・と始まるアルファベットは、全部で何文字でしょう？	26文字	
ABC01-01-0002	abc ～the first～	2003/03/30	ペーパー筆記	2	人気漫画『ドラえもん』の登場人物で、ジャイアンの苗字は剛田ですが、スネ夫の苗字は何でしょう？	骨川（滑川も正解）	
ABC01-01-0003	abc ～the first～	2003/03/30	ペーパー筆記	3	格闘家ボブ・サップの出身国はどこでしょう？	アメリカ	
ABC01-01-0004	abc ～the first～	2003/03/30	ペーパー筆記	4	ロシア語で「城」という意味がある、ロシアの大統領府の別名は何でしょう？	クレムリン	
ABC01-01-0005	abc ～the first～	2003/03/30	ペーパー筆記	5	織田信長、豊臣秀吉、徳川家康という３人の戦国武将の性格を表現するのに用いられる鳥は何でしょう？	ホトトギス	
ABC01-01-0006	abc ～the first～	2003/03/30	ペーパー筆記	6	人気タレント・タモリの本名は何でしょう？	森田一義	
ABC01-01-0007	abc ～the first～	2003/03/30	ペーパー筆記	7	２つのサイコロをふったとき、ゾロ目が出る確率は何分のいくつでしょう？	６分の１	
ABC01-01-0008	abc ～the first～	2003/03/30	ペーパー筆記	8	「国際連合」の旗に描かれている植物といったら何でしょう？	オリーブ	
ABC01-01-0009	abc ～the first～	2003/03/30	ペーパー筆記	9	アンデルセンの自叙伝とも言われている物語で、いじめられっこが実は白鳥だったというお話は何でしょう？	『みにくいあひるの子』	
ABC01-01-0010	abc ～the first～	2003/03/30	ペーパー筆記	10	男性の声の音域で、テノールとバスの間に当たるのは何でしょう？	バリトン	
ABC01-01-0011	abc ～the first～	2003/03/30	ペーパー筆記	11	中華料理の飲茶で使われる、軽食やお菓子のことを何というでしょう？	点心	
ABC01-01-0012	abc ～the first～	2003/03/30	ペーパー筆記	12	「たけやぶやけた」などのように、前から読んでも後ろから読んでも同じになる文章を何というでしょう？	回文	
